03,09,2007,V,Liberal Party of Denmark (Venstre),121292,37.3,6,0,6
03,09,2007,A,Social Democratic Party,74664,23.0,4,0,4
03,09,2007,O,Danish People's Party,42357,13.0,2,0,2
03,09,2007,F,Socialist People's Party,30642,9.4,1,1,2
03,09,2007,C,Conservative People's Party,24917,7.7,1,0,1
03,09,2007,B,Danish Social-Liberal Party (Radikale Venstre),12776,3.9,0,1,1
03,09,2007,K,Christian Democrats,9200,2.8,0,0,0
03,09,2007,Y,New Alliance,6725,2.1,0,0,0
03,09,2007,&Oslash;,Unity List - Red-Green Alliance,2677,0.8,0,0,0
03,09,2007,,Independent Candidates,73,0.0,0,0,0
03,10,2007,,Registered Electors,435436,,,,
03,10,2007,,Voters,371484,85.3,,,
03,10,2007,,Blank or Invalid Ballots,2491,0.7,,,
03,10,2007,,Valid Votes,368993,99.3,,,
03,10,2007,A,Social Democratic Party,108236,29.3,5,1,6
03,10,2007,V,Liberal Party of Denmark (Venstre),94030,25.5,4,1,5
03,10,2007,O,Danish People's Party,50253,13.6,2,1,3
03,10,2007,C,Conservative People's Party,49483,13.4,2,1,3
03,10,2007,F,Socialist People's Party,37977,10.3,2,0,2
03,10,2007,B,Danish Social-Liberal Party (Radikale Venstre),14406,3.9,0,1,1
03,10,2007,Y,New Alliance,6582,1.8,0,0,0
03,10,2007,&Oslash;,Unity List - Red-Green Alliance,4082,1.1,0,0,0
03,10,2007,K,Christian Democrats,3845,1.0,0,0,0
03,10,2007,,Independent Candidates,99,0.0,0,0,0

